Ground-truth,Predictions,Prediction intensity,Max Prediction intensity,Min Prediction intensity
0,1,0.999979155984488,5.27580785751343,-5.50261497497559
0,1,0.999968916691349,4.91955661773682,-5.45925188064575
0,1,0.999778391685573,3.64310193061829,-4.77127552032471
0,1,0.999939167263123,4.47969150543213,-5.22763013839722
0,1,0.999808183671555,3.76348662376404,-4.7952938079834
0,1,0.999914759031311,4.02856874465942,-5.34137439727783
0,1,0.999888633692344,4.00362014770508,-5.09895420074463
0,1,0.999657640959656,3.56293106079102,-4.41637706756592
0,1,0.649335066979963,0.038252402096987,-0.577865302562714
0,1,0.999736155184637,3.66615700721741,-4.57372856140137
0,1,0.999978050404202,4.86765909194946,-5.85908079147339
0,1,0.982703382281286,2.08346700668335,-1.95632934570313
0,1,0.999978639470561,5.08381128311157,-5.67013311386108
0,1,0.996459233223277,2.50787281990051,-3.13199210166931
0,1,0.999787399277949,3.9727578163147,-4.48312425613403
0,1,0.999959000478455,4.71219825744629,-5.38971090316772
0,1,0.999949371677347,4.54439163208008,-5.34655714035034
0,1,0.999234445473699,3.15922069549561,-4.01492357254028
0,1,0.990878862960568,1.91328954696655,-2.77470827102661
0,1,0.99973738687368,3.65879535675049,-4.58577060699463
0,1,0.510599857646828,-0.411656528711319,-0.454062312841415
0,1,0.999980758479553,5.12362766265869,-5.73479318618774
0,1,0.999902344351434,4.14469194412231,-5.08927345275879
0,1,0.999971257355232,4.92826747894287,-5.52883243560791
0,1,0.990265705671883,1.94196927547455,-2.68034887313843
0,1,0.999954611330089,4.58640289306641,-5.41379976272583
0,1,0.999979019504615,4.93521070480347,-5.83668565750122
0,1,0.927840822615492,0.495439887046814,-2.0585458278656
0,1,0.998781319834569,2.80863642692566,-3.90013098716736
0,1,0.999978038773225,4.91939926147461,-5.80681085586548
0,1,0.954679684401183,0.993800818920136,-2.05381965637207
0,1,0.999942246467352,4.35089921951294,-5.40836906433106
0,1,0.999945975470224,4.5209584236145,-5.30505990982056
0,1,0.999965554665189,4.85611486434937,-5.41998767852783
0,1,0.999796197647453,3.75353050231934,-4.74462556838989
0,1,0.999970037815034,4.84848642349243,-5.56705808639526
0,1,0.999369075471937,3.18146061897278,-4.1862325668335
0,1,0.99965683677796,3.48530626296997,-4.49165487289429
0,1,0.999970864744928,4.96825981140137,-5.47527265548706
0,1,0.999907138400045,4.11309385299683,-5.17121362686157
0,1,0.996031180237519,2.20105504989624,-3.32425475120544
0,1,0.999899031366033,4.22423696517944,-4.97636270523071
0,1,0.84139763738162,0.537921726703644,-1.13074243068695
0,1,0.999984267801697,5.32024192810059,-5.73954343795776
0,1,0.999780192752286,3.37771940231323,-5.0448203086853
0,1,0.99008896016235,1.40412306785584,-3.20002245903015
0,1,0.999982442565903,5.11390590667725,-5.83610963821411
0,1,0.999884095578279,4.05462217330933,-5.00800657272339
0,1,0.999983765730324,5.13849449157715,-5.88987541198731
0,1,0.998499209015175,2.90665555000305,-3.59360551834106
0,1,0.999962192627118,4.60660839080811,-5.57636022567749
0,1,0.999964292027301,4.63495206832886,-5.60514879226685
0,1,0.999802231694813,3.61694598197937,-4.91127061843872
0,1,0.999955432612126,4.75811910629272,-5.26034450531006
0,1,0.999927648752322,4.59021759033203,-4.943687915802
0,1,0.999974287624691,4.85067987442017,-5.71783256530762
0,1,0.999962165612608,4.82379198074341,-5.3584623336792
0,1,0.945590820648499,1.19831430912018,-1.65696275234222
0,1,0.999966847418035,4.74315452575684,-5.57120227813721
0,1,0.999971709944382,4.84303998947144,-5.6299319267273
0,1,0.999972313021667,4.92405700683594,-5.57046365737915
0,1,0.999971735603007,4.91869449615479,-5.55518484115601
0,1,0.999926452857586,4.086745262146,-5.43076515197754
0,1,0.999770375148329,3.68248534202576,-4.69634866714478
0,1,0.999975848979782,4.83881235122681,-5.79234743118286
0,1,0.999970167698424,4.76618719100952,-5.65370178222656
0,1,0.999984085174115,5.24393129348755,-5.80431222915649
0,1,0.828754275241507,0.442997336387634,-1.13382685184479
0,1,0.998868563273612,2.97270488739014,-3.81043004989624
0,1,0.766566624859495,0.181003913283348,-1.00802099704742
0,1,0.999016391113944,2.94248604774475,-3.98081207275391
0,1,0.999649005886294,3.44113731384277,-4.51325273513794
0,1,0.999960142737038,4.74283123016357,-5.3873348236084
0,1,0.999569517406085,3.16646337509155,-4.58370971679688
0,1,0.999988883587656,5.39290189743042,-6.0141749382019
0,1,0.993300941656608,1.94947159290314,-3.04959511756897
0,1,0.999591342880427,3.19985938072205,-4.60236597061157
0,1,0.552764788227697,-0.195782288908958,-0.407630205154419
0,1,0.999969101994863,4.8122239112854,-5.57256412506104
0,1,0.99997236120592,4.72539281845093,-5.77086973190308
0,1,0.99994721175602,4.31872367858887,-5.53044557571411
0,1,0.999755704893595,3.62403869628906,-4.6928505897522
0,1,0.996190362562909,2.44508647918701,-3.12131786346436
0,1,0.999472429571216,3.57253384590149,-3.97416663169861
0,1,0.999917297810075,4.25088500976563,-5.14929676055908
0,1,0.997918830879755,2.64572072029114,-3.52702140808105
0,1,0.997267849815613,2.49884676933289,-3.40108370780945
